Time (ms),Name,Value
1814384,"elevator height","600.0"
1814484,"error","2474.0"
1814484,"elevator height","574.0"
1814585,"error","2444.0"
1814585,"elevator height","544.0"
1814685,"error","2412.0"
1814685,"elevator height","512.0"
1814785,"error","2381.0"
1814785,"elevator height","481.0"
1814886,"error","2353.0"
1814886,"elevator height","453.0"
1814988,"error","2326.0"
1814988,"elevator height","426.0"
1815087,"error","2299.0"
1815087,"elevator height","399.0"
1815187,"error","2278.0"
1815187,"elevator height","378.0"
1815287,"error","2258.0"
1815287,"elevator height","358.0"
1815388,"error","2234.0"
1815388,"elevator height","334.0"
1815487,"error","2208.0"
1815488,"elevator height","308.0"
1815587,"error","2180.0"
1815588,"elevator height","280.0"
1815688,"error","2146.0"
1815689,"elevator height","246.0"
1815789,"error","2112.0"
1815789,"elevator height","212.0"
1815888,"error","2076.0"
1815889,"elevator height","176.0"
1815989,"error","2031.0"
1815990,"elevator height","131.0"
1816089,"error","1993.0"
1816089,"elevator height","93.0"
1816189,"error","1957.0"
1816189,"elevator height","57.0"
1816290,"error","1926.0"
1816291,"elevator height","26.0"
1816390,"error","1894.0"
1816390,"elevator height","-6.0"
1816490,"error","1860.0"
1816490,"elevator height","-40.0"
1816591,"error","1825.0"
1816592,"elevator height","-75.0"
1816692,"error","1788.0"
1816692,"elevator height","-112.0"
1816792,"error","1751.0"
1816792,"elevator height","-149.0"
1816892,"error","1709.0"
1816892,"elevator height","-191.0"
1816992,"error","1669.0"
1816993,"elevator height","-231.0"
1817092,"error","1630.0"
1817093,"elevator height","-270.0"
1817193,"error","1594.0"
1817193,"elevator height","-306.0"
1817293,"error","1563.0"
1817293,"elevator height","-337.0"
1817394,"error","1535.0"
1817394,"elevator height","-365.0"
1817494,"error","1515.0"
1817494,"elevator height","-385.0"
1817594,"error","1512.0"
1817594,"elevator height","-388.0"
1817795,"error","1513.0"
1817795,"elevator height","-387.0"
1817995,"error","1514.0"
1817996,"elevator height","-386.0"
1818195,"error","1515.0"
1818195,"elevator height","-385.0"
1819297,"error","1514.0"
1819297,"elevator height","-386.0"
1819397,"error","1512.0"
1819398,"elevator height","-388.0"
1819498,"error","1507.0"
1819498,"elevator height","-393.0"
1819599,"error","1492.0"
1819599,"elevator height","-408.0"
1819698,"error","1469.0"
1819698,"elevator height","-431.0"
1819797,"error","1444.0"
1819797,"elevator height","-456.0"
1819897,"error","1421.0"
1819897,"elevator height","-479.0"
1819998,"error","1392.0"
1819998,"elevator height","-508.0"
1820098,"error","1359.0"
1820098,"elevator height","-541.0"
1820201,"error","1327.0"
1820201,"elevator height","-573.0"
1820301,"error","1295.0"
1820301,"elevator height","-605.0"
1820400,"error","1264.0"
1820400,"elevator height","-636.0"
1820500,"error","1240.0"
1820500,"elevator height","-660.0"
1820600,"error","1224.0"
1820600,"elevator height","-676.0"
1820700,"error","1223.0"
1820700,"elevator height","-677.0"
1821201,"error","1224.0"
1821201,"elevator height","-676.0"
1827211,"error","1223.0"
1827211,"elevator height","-677.0"
1827411,"error","1221.0"
1827411,"elevator height","-679.0"
1827512,"error","1216.0"
1827512,"elevator height","-684.0"
1827612,"error","1202.0"
1827612,"elevator height","-698.0"
1827712,"error","1183.0"
1827712,"elevator height","-717.0"
1827813,"error","1163.0"
1827813,"elevator height","-737.0"
1827913,"error","1140.0"
1827913,"elevator height","-760.0"
1828013,"error","1113.0"
1828014,"elevator height","-787.0"
1828113,"error","1085.0"
1828113,"elevator height","-815.0"
1828214,"error","1055.0"
1828215,"elevator height","-845.0"
1828315,"error","1023.0"
1828315,"elevator height","-877.0"
1828415,"error","995.0"
1828415,"elevator height","-905.0"
1828516,"error","970.0"
1828516,"elevator height","-930.0"
1828615,"error","948.0"
1828615,"elevator height","-952.0"
1828715,"error","925.0"
1828715,"elevator height","-975.0"
1828816,"error","905.0"
1828816,"elevator height","-995.0"
1828916,"error","897.0"
1828916,"elevator height","-1003.0"
1829417,"error","899.0"
1829417,"elevator height","-1001.0"
1834398,"error","898.0"
1834398,"elevator height","-1002.0"
1834597,"error","897.0"
1834597,"elevator height","-1003.0"
1834798,"error","895.0"
1834798,"elevator height","-1005.0"
1834900,"error","890.0"
1834900,"elevator height","-1010.0"
1835000,"error","878.0"
1835001,"elevator height","-1022.0"
1835100,"error","865.0"
1835100,"elevator height","-1035.0"
1835201,"error","861.0"
1835201,"elevator height","-1039.0"
1835401,"error","857.0"
1835401,"elevator height","-1043.0"
1835500,"error","843.0"
1835500,"elevator height","-1057.0"
1835603,"error","823.0"
1835603,"elevator height","-1077.0"
1835701,"error","805.0"
1835701,"elevator height","-1095.0"
1835805,"error","782.0"
1835805,"elevator height","-1118.0"
1835903,"error","756.0"
1835903,"elevator height","-1144.0"
1836004,"error","733.0"
1836004,"elevator height","-1167.0"
1836104,"error","708.0"
1836104,"elevator height","-1192.0"
1836203,"error","681.0"
1836204,"elevator height","-1219.0"
1836304,"error","653.0"
1836304,"elevator height","-1248.0"
1836405,"error","623.0"
1836405,"elevator height","-1277.0"
1836505,"error","598.0"
1836505,"elevator height","-1302.0"
1836605,"error","571.0"
1836606,"elevator height","-1329.0"
1836705,"error","545.0"
1836706,"elevator height","-1355.0"
1836806,"error","522.0"
1836806,"elevator height","-1378.0"
1836906,"error","502.0"
1836906,"elevator height","-1398.0"
1837007,"error","491.0"
1837007,"elevator height","-1409.0"
1837106,"error","486.0"
1837106,"elevator height","-1414.0"
1837408,"error","487.0"
1837408,"elevator height","-1413.0"
1837508,"error","488.0"
1837508,"elevator height","-1412.0"
1842915,"error","490.0"
1842915,"elevator height","-1410.0"
1843013,"error","500.0"
1843013,"elevator height","-1400.0"
1843113,"error","516.0"
1843113,"elevator height","-1384.0"
1843216,"error","538.0"
1843216,"elevator height","-1362.0"
1843314,"error","560.0"
1843314,"elevator height","-1340.0"
1843414,"error","582.0"
1843414,"elevator height","-1318.0"
1843514,"error","603.0"
1843514,"elevator height","-1297.0"
1843615,"error","624.0"
1843615,"elevator height","-1276.0"
1843716,"error","646.0"
1843716,"elevator height","-1254.0"
1843816,"error","663.0"
1843816,"elevator height","-1237.0"
1843916,"error","673.0"
1843916,"elevator height","-1227.0"
1844017,"error","674.0"
1844017,"elevator height","-1226.0"
2051283,"elevator height","-1226.0"
2051284,"error","674.0"
2051284,"is terminated","true"
2051284,"PID output","-1.0"
2057670,"error","1907.5"
2057671,"PID output","0.019074998795986176"
2057671,"elevator height","7.5"
2057771,"is terminated","true"
2139770,"elevator height","7.5"
2139770,"error","1907.5"
2139770,"is terminated","true"
2139771,"PID output","0.019074998795986176"
2153187,"error","1924.5"
2153187,"PID output","-0.10000000149011612"
2153187,"elevator height","21.5"
2153287,"error","1910.5"
2153287,"elevator height","10.5"
2153288,"is terminated","false"
2153387,"is terminated","true"
2162704,"error","1911.5"
2162704,"elevator height","11.5"
2257891,"error","1910.5"
2257892,"elevator height","10.5"
2258092,"elevator height","8.5"
2258092,"error","1908.5"
2258192,"error","1907.5"
2258192,"elevator height","7.5"
2258292,"error","1903.5"
2258292,"elevator height","3.5"
2258393,"error","1893.5"
2258393,"elevator height","-6.5"
2258493,"error","1885.5"
2258493,"elevator height","-14.5"
2258594,"error","1873.5"
2258594,"elevator height","-26.5"
2258694,"error","1855.5"
2258694,"elevator height","-44.5"
